Year,Sex,Name,Count
1996,Female,chani,5
1996,Female,chanie,17
1996,Female,channel,10
1996,Female,channing,19
1996,Female,chantal,194
1996,Female,chante,71
1996,Female,chantel,435
1996,Female,chantell,19
1996,Female,chantelle,108
1996,Female,chany,16
1996,Female,chardae,5
1996,Female,chardonnay,5
1996,Female,charis,21
1996,Female,charise,6
1996,Female,charisma,18
1996,Female,charissa,32
1996,Female,charisse,17
1996,Female,charity,450
1996,Female,charlee,12
1996,Female,charlene,230
1996,Female,charley,17
1996,Female,charli,5
1996,Female,charlie,80
1996,Female,charlotte,914
1996,Female,charly,5
1996,Female,charmaine,55
1996,Female,chase,163
1996,Female,chasidy,15
1996,Female,chasity,507
1996,Female,chassidy,42
1996,Female,chassity,20
1996,Female,chastity,92
1996,Female,chava,42
1996,Female,chavie,5
1996,Female,chavy,6
1996,Female,chaya,187
1996,Female,chelse,6
1996,Female,chelsea,5861
1996,Female,chelsee,33
1996,Female,chelsey,1266
1996,Female,chelsi,109
1996,Female,chelsie,478
1996,Female,chelsy,54
1996,Female,cherelle,5
1996,Female,cheri,10
1996,Female,cherie,16
1996,Female,cherise,12
1996,Female,cherish,86
1996,Female,cherokee,106
1996,Female,cherry,15
1996,Female,cheryl,194
1996,Female,chesney,16
1996,Female,cheyann,48
1996,Female,cheyanna,57
1996,Female,cheyanne,898
1996,Female,cheyene,16
1996,Female,cheyenna,12
1996,Female,cheyenne,4862
1996,Female,chianne,5
1996,Female,chiara,50
1996,Female,chidinma,5
1996,Female,china,151
1996,Female,chioma,5
1996,Female,chloe,2774
1996,Female,chole,5
1996,Female,choua,7
1996,Female,chris,6
1996,Female,christa,439
1996,Female,christabel,6
1996,Female,christal,69
1996,Female,christan,5
1996,Female,christen,221
1996,Female,christi,43
1996,Female,christian,691
1996,Female,christiana,261
1996,Female,christianna,21
1996,Female,christianne,5
1996,Female,christie,152
1996,Female,christin,155
1996,Female,christina,5800
1996,Female,christine,2351
1996,Female,christopher,36
1996,Female,christy,507
1996,Female,chrysta,6
1996,Female,chrystal,56
1996,Female,chrystina,6
1996,Female,chyann,11
1996,Female,chyanna,6
1996,Female,chyanne,92
1996,Female,chyenne,48
1996,Female,chyna,164
1996,Female,chynna,170
1996,Female,ciana,16
1996,Female,ciani,12
1996,Female,cianna,5
1996,Female,ciara,1417
1996,Female,ciarra,124
1996,Female,cielo,20
1996,Female,cienna,18
1996,Female,ciera,494
1996,Female,cierra,1584
1996,Female,cindi,8
1996,Female,cindy,1466
1996,Female,cinnamon,5
1996,Female,cinthia,162
1996,Female,cinthya,46
1996,Female,cintia,19
1996,Female,citlali,20
1996,Female,citlaly,16
1996,Female,clair,6
1996,Female,claire,2719
1996,Female,clara,627
1996,Female,clare,416
1996,Female,claribel,21
1996,Female,clarice,31
1996,Female,clarisa,71
1996,Female,clarissa,1141
1996,Female,clarita,6
1996,Female,claritza,6
1996,Female,claudette,9
1996,Female,claudia,1789
1996,Female,claudine,8
1996,Female,cleo,13
1996,Female,cloe,7
1996,Female,clorissa,7
1996,Female,codi,72
1996,Female,codie,16
1996,Female,cody,22
1996,Female,colby,44
1996,Female,colette,112
1996,Female,colleen,1024
1996,Female,collette,5
1996,Female,concepcion,40
1996,Female,concetta,5
1996,Female,conner,37
1996,Female,connie,208
1996,Female,connor,80
1996,Female,constance,194
1996,Female,constanza,5
1996,Female,consuelo,94
1996,Female,cora,272
1996,Female,coraima,29
1996,Female,coral,115
1996,Female,corazon,5
1996,Female,corbin,5
1996,Female,corey,77
1996,Female,cori,169
1996,Female,corie,22
1996,Female,corin,14
1996,Female,corina,215
1996,Female,corine,5
1996,Female,corinn,5
1996,Female,corinna,68
1996,Female,corinne,352
1996,Female,corissa,6
1996,Female,cornesha,5
1996,Female,correna,5
1996,Female,corrin,18
1996,Female,corrina,102
1996,Female,corrine,97
1996,Female,corryn,8
1996,Female,cortney,423
1996,Female,cortnie,6
1996,Female,cory,15
1996,Female,courteney,57
1996,Female,courtlyn,11
1996,Female,courtnee,20
1996,Female,courtney,11343
1996,Female,courtni,6
1996,Female,courtnie,41
1996,Female,criselda,6
1996,Female,crisol,17
1996,Female,crista,17
1996,Female,cristal,502
1996,Female,cristela,6
1996,Female,cristen,6
1996,Female,cristian,34
1996,Female,cristiana,6
1996,Female,cristin,11
1996,Female,cristina,1107
1996,Female,cristine,22
1996,Female,cristy,26
1996,Female,cruz,9
1996,Female,crysta,14
1996,Female,crystal,3780
1996,Female,crystalyn,5
1996,Female,curtisha,5
1996,Female,cydney,159
1996,Female,cydni,5
1996,Female,cyndi,10
1996,Female,cyndy,5
1996,Female,cynthia,3171
1996,Female,cyntia,6
1996,Female,cypress,6
1996,Female,cyrena,7
1996,Female,czarina,7
1996,Female,dacia,23
1996,Female,daeja,10
1996,Female,daesha,16
1996,Female,dafne,6
1996,Female,dahlia,61
1996,Female,daija,210
1996,Female,daijah,159
1996,Female,daina,5
1996,Female,daisey,17
1996,Female,daisha,271
